nom,diplome,statut,ville,nombre_etoiles,nombre_commentaires,classement,mention,specialite,adresse,taux_reussite_bac,taux_mentions_bac,effectifs_terminale,classement_lycees_generaux_technos,classement_lycees_pros
Lycée polyvalent Le Garros,Public,Polyvalent,Auch,3.6,(13),11.0,57.0,10.0,Auch 1 bis rue Darwin BP 60529 32021 Auch cedex 9,88.0,57.0,246.0,12.8,6.3
Lycée Les 7 Mares,Public,Général,Maurepas,3.2,(5),18.0,73.0,8.0,Maurepas 13 rue de la Beauce BP 50207 78310 Maurepas,99.0,73.0,228.0,14.4,9.2
Lycée polyvalent Léonard de Vinci,Public,Polyvalent,Saint-Germain-en-Laye,2.9,(22),27.0,52.0,5.0,Saint-Germain-en-Laye 2 boulevard Hector Berlioz 78100 Saint-Germain-en-Laye,89.0,52.0,171.0,13.0,13.8
Lycée de Villaroy,Public,Général,Guyancourt,2.4,(43),35.0,62.0,9.0,Guyancourt 2 rue Viollet le Duc 78280 Guyancourt,97.0,62.0,279.0,11.4,13.0
Lycée Louis Bascan,Public,Polyvalent,Rambouillet,3.3,(38),32.0,63.0,13.0,Rambouillet 5 avenue du Général Leclerc BP 93 78513 Rambouillet,93.0,63.0,747.0,13.1,13.0
Lycée Condorcet,Public,Polyvalent,Limay,3.2,(19),31.0,46.0,8.0,Limay Allée Condorcet 78520 Limay,87.0,46.0,417.0,13.2,11.9
Lycée général et technologique Bossuet,Public,Général,Condom,3.6,(6),9.0,68.0,10.0,Condom 42 rue Jules Ferry 32100 Condom,96.0,68.0,141.0,13.7,9.9
Lycée polyvalent Maréchal Lannes,Public,Polyvalent,Lectoure,3.1,(8),7.0,69.0,8.0,Lectoure 1 place Pierre Brossolette 32700 Lectoure,98.0,69.0,111.0,14.2,14.3
Lycée Dumont d'Urville,Public,Polyvalent,Maurepas,2.8,(9),41.0,52.0,8.0,Maurepas 2 avenue de Franche-Comté 78310 Maurepas,89.0,52.0,182.0,10.2,12.7
Lycée de la Montagne,Public,Polyvalent,Valdeblore,3.0,(14),7.0,67.0,7.0,Valdeblore Quartier du Clôt 06420 Valdeblore,95.0,67.0,109.0,15.2,15.1
Lycée Saint-François d'Assise,Privé,Général,Montigny-le-Bretonneux,3.5,(23),52.0,98.0,9.0,Montigny-le-Bretonneux 6 place Claudel 78180 Montigny-le-Bretonneux,100.0,98.0,177.0,11.9,12.2
Lycée Jean Vilar,Public,Général,Plaisir,2.8,(24),54.0,68.0,8.0,Plaisir 1033 avenue du Général de Gaulle 78370 Plaisir,98.0,68.0,215.0,12.1,9.9
